Depth,Category,Parent Category,Content Title,Content Type,Status,2019 Hits,URL,Last Modified,Publish Date,Expire Date
1,Press Releases,Media,Joint Statement by Mayor Ted Wheeler and Commissioner Nick Fish on EPA Superfund,Text,Active,264,https://www.portlandoregon.gov/wheeler/article/625279,1/24/2017 17:38,1/24/2017 17:31,
1,Press Releases,Media,Mayor Ted Wheeler Announces Bureau Assignments,Text,Active,252,https://www.portlandoregon.gov/wheeler/article/625278,1/24/2017 17:39,1/24/2017 17:29,
1,Press Releases,Media,City Prevails in Anderson Ratepayer Case,Text,Active,273,https://www.portlandoregon.gov/wheeler/article/625277,1/24/2017 17:36,1/24/2017 17:26,
1,Press Releases,Media,Statement from Mayor Ted Wheeler on Weekend Demonstrations,Text,Active,578,https://www.portlandoregon.gov/wheeler/article/624867,2/1/2017 10:51,1/23/2017 11:41,
1,Press Releases,Media,Mayor Wheeler’s Statement on President Trump’s Repeal of the Clean Power Plan,Text,Active,235,https://www.portlandoregon.gov/wheeler/article/633953,3/28/2017 14:08,3/28/2017 14:07,
1,Press Releases,Media,Mayor Wheeler’s Statement on AG’s Comments and Recent ICE Actions in Portland,Text,Active,258,https://www.portlandoregon.gov/wheeler/article/633822,3/27/2017 15:21,3/27/2017 15:01,
1,Press Releases,Media,Wheeler and Fritz announce grant to provide legal services to immigrants,Text,Active,241,https://www.portlandoregon.gov/wheeler/article/627825,2/14/2017 10:26,2/10/2017 14:17,
1,Press Releases,Media,City Council Sends Measure to Increase Auditor Independence to Voters,Text,Active,262,https://www.portlandoregon.gov/wheeler/article/626699,2/1/2017 16:48,2/1/2017 16:47,
1,Press Releases,Media,Mayor Wheeler and Chair Kafoury's open letter to landlords,Text,Inactive,,https://www.portlandoregon.gov/wheeler/article/626610,2/1/2017 10:50,2/1/2017 10:40,
1,Press Releases,Media,Mayor Wheeler and Chair Kafoury's open letter to landlords,Binary (application/pdf),Active,205,https://www.portlandoregon.gov/wheeler/article/626613,2/14/2017 10:24,2/1/2017 10:47,
1,Press Releases,Media,Joint Statement by Mayor Ted Wheeler and Commissioner Dan Saltzman on Bringing Valuable Services to Residents and Visitors with CIVIQ Smartscapes Interconnected Smart City Ecosystem,Text,Active,246,https://www.portlandoregon.gov/wheeler/article/626600,2/1/2017 10:30,2/1/2017 10:19,
1,Press Releases,Media,Statement by Portland Mayor Ted Wheeler on Sanctuary Cities,Text,Active,1198,https://www.portlandoregon.gov/wheeler/article/625561,2/14/2017 10:23,1/25/2017 13:54,
1,Press Releases,Media,Mayor Ted Wheeler Declares State of Emergency for City of Portland,Text,Active,272,https://www.portlandoregon.gov/wheeler/article/625281,1/24/2017 17:35,1/24/2017 17:33,
1,Press Releases,Media,Mayor Ted Wheeler Announces Portland Building Will Serve as Emergency Shelter Tonight,Text,Active,244,https://www.portlandoregon.gov/wheeler/article/625280,1/24/2017 17:33,1/24/2017 17:32,
1,Press Releases,Media,Mayor Wheeler’s First Budget Takes Action to Address Long-Standing City Challenges,Text,Active,257,https://www.portlandoregon.gov/wheeler/article/637625,5/1/2017 11:55,5/1/2017 11:52,
1,Press Releases,Media,"PBOT News Release: Mayor Wheeler, Commissioner Saltzman launch Smart Autonomous Vehicles Initiative",Text,Active,293,https://www.portlandoregon.gov/wheeler/article/636476,4/19/2017 10:21,4/19/2017 10:18,
1,Press Releases,Media,Statement by Mayor Wheeler on Police Chief Marshman,Text,Active,240,https://www.portlandoregon.gov/wheeler/article/635721,4/12/2017 20:20,4/12/2017 18:47,
1,Press Releases,Media,City and County leaders pledge to move to 100 percent renewable energy,Text,Active,701,https://www.portlandoregon.gov/wheeler/article/635328,4/11/2017 8:44,4/11/2017 8:40,
